	2009.0417713901377
Qigang Gao	2012.0
Michael Wiegand	2007.0
Nianyi Li	2014.5
Qiuchi Li	2015.0
Chen Yanover	2002.5
Xiaoling Zhang	2003.0
Songfan Yang	2010.0
Fumio Takechi	2002.0
Han-Cheol Cho	2013.0
Pawel Jurczyk	2007.0
Fangzhao Wu	2015.0
Wei Zhang 0021	2009.0
Thang D. Bui	2014.0
Lin Mei	2008.0
Zi-Ke Zhang	2015.0
Alan A. Stocker	2012.5
Jean-Marc Delosme	2008.0
Christopher J. Fox	2003.0
Nevin Lianwen Zhang	2010.5
Jonathan Taylor	2012.7142857142858
Patrice Buche	2010.6666666666667
Yoshinori Niwa	2001.0
Michel Dumontier	2015.0
Prashanth L. A.	2014.0
Anthony M. Leonardo	2009.0
Lance A. Forbes	2000.0
Wenjun Zeng	2015.0
Xiao Bai 0002	2013.75
Jacob W. Crandall	2005.0
Wenxuan Gao	2009.0
Paul Baxter	2015.0
Robert Givan	2002.3333333333333
Joseph P. Campbell	2003.0
Stephen Boyer	2007.6666666666667
Amit Gruber	2003.5
Bin Lu	2011.0
Sergio Escalera Guerrero	2012.0
Tengfei Ma	2010.0
Katja Hofmann	2012.111111111111
B. Lakshmi Narayan	2005.0
Dinh Phung	2015.0
Nicolas Bruno	2007.3333333333333
Lei He	2010.6666666666667
Chuohao Yeo	2009.5
Markus Müller	2008.0
Ulrich Thoennessen	2008.0
Vlado Keelj	2015.0
Thomas Chang	2007.0
Anna K. Jerebko	2009.0
Khurum Nazir Junejo	2008.0
Le Kang	2013.6
Dean McCullough	2012.0
Jean-Francois Mangin	2006.0
Tomer Ullman	2009.0
Andrea Lecchini-Visintini	2007.0
Minh Ha Quang	2014.0
Donald Sanders	2010.0
Álvaro Pereira	2009.0
Jennifer Dy	2015.0
David S. Renshaw	2001.0
Victoria Gor	2005.0
Ohad Ben-Shahar	2007.9
Jean-Luc Dugelay	2013.0
Liyuan Li	2008.6666666666667
Yuting Qi	2008.0
Rahul Singh	2008.0
Ivo Danihelka	2014.5
Mengmeng Liu	2010.0
Philippe Rigollet	2012.75
Chih-Hua Tai	2011.5
Guy Shani	2008.75
Nicholas J. Belkin	2007.9545454545455
Gongping Yang	2014.0
Eric R. Schendel	2014.0
Mita Nasipuri	2010.0
Mengmeng Yang	2014.0
Guanyu Zhou	2013.0
Min Yang	2012.0
Kevin Bouchard	2015.0
Goo Jun	2009.0
João P. Neto	2014.0
Shih-Hau Fang	2008.0
Alice H. Oh	2012.3333333333333
Jay M. Ponte	2003.0
Hung-Leng Chen	2007.3333333333333
Alexander Loktyushin	2015.0
Jordi Forné	2012.0
Hassani	2015.0
Jinwon Lee	2009.0
Gautham J. Mysore	2012.5
Greg Hamerly	2005.0
Yuri Owechko	2010.2857142857142
Minos N. Garofalakis	2006.6
Stephen Jose Hanson	2001.0
Johannes Leveling	2012.3
Zoran Obradovic	2006.4375
Yuhong Zhang	2011.0
Xiaolong Wang	2013.4285714285713
Steve B. Goldberg	2011.0
Wheeler Ruml	2001.0
Long T. Le	2015.0
Jignashu Parikh	2006.0
James C. French	2003.0
Takuya Maekawa	2008.5
Qiang Fu	2010.8333333333333
Xingyao Ye	2008.0
Jamshid A. Vayghan	2004.0
Yi-I. Chiu	2012.0
Jakob Sorensen	2005.0
Alneu de Andrade Lopes	2012.0
Yansong Zhang	2016.0
Hoyt A. Koepke	2013.5
Chris Wiggins	2013.0
Xavier Muñoz	2006.0
Ralph Gross	2005.25
Nicol N. Schraudolph	2006.5
Lin Deng	2004.0
Desheng Dash Wu	2010.0
Kai Krajsek	2011.0
M. Stevens	2010.0
Paulo Braz Golgher	2005.0
Stéphane Lallich	2006.75
Sabri Boutemedjet	2008.0
Thi V. Duong	2010.0
Anna M. Manning	2003.0
Alminas Civilis	2005.0
Charis Ermopoulos	2003.0
Xue Liu	2014.3333333333333
Jiong Jia	2013.0
Shijie Cai	2000.5
Seunghoon Hong	2015.0
Shashi Shekhar	2008.4166666666667
